"GAME_ID","GAME_DATE","TEAM_ABBR","OPP_ABBR"
"201001010BOS","2010-01-01","PHI","BOS"
"201001010BOS","2010-01-01","BOS","PHI"
"201001010BUF","2010-01-01","ATL","BUF"
"201001010BUF","2010-01-01","BUF","ATL"
"201001020CBJ","2010-01-02","COL","CBJ"
"201001020CBJ","2010-01-02","CBJ","COL"
"201001020CGY","2010-01-02","TOR","CGY"
"201001020CGY","2010-01-02","CGY","TOR"
"201001020DAL","2010-01-02","VAN","DAL"
"201001020DAL","2010-01-02","DAL","VAN"
"201001020LAK","2010-01-02","WSH","LAK"
"201001020LAK","2010-01-02","LAK","WSH"
"201001020MIN","2010-01-02","NJD","MIN"
"201001020MIN","2010-01-02","MIN","NJD"
"201001020NSH","2010-01-02","ANA","NSH"
"201001020NSH","2010-01-02","NSH","ANA"
"201001020NYI","2010-01-02","ATL","NYI"
"201001020NYI","2010-01-02","NYI","ATL"
"201001020NYR","2010-01-02","CAR","NYR"
"201001020NYR","2010-01-02","NYR","CAR"
"201001020PHX","2010-01-02","DET","PHX"
"201001020PHX","2010-01-02","PHX","DET"
"201001020SJS","2010-01-02","EDM","SJS"
"201001020SJS","2010-01-02","SJS","EDM"
"201001020STL","2010-01-02","CHI","STL"
"201001020STL","2010-01-02","STL","CHI"
"201001020TBL","2010-01-02","PIT","TBL"
"201001020TBL","2010-01-02","TBL","PIT"
"201001030CHI","2010-01-03","ANA","CHI"
"201001030CHI","2010-01-03","CHI","ANA"
"201001030FLA","2010-01-03","PIT","FLA"
"201001030FLA","2010-01-03","FLA","PIT"
"201001030MTL","2010-01-03","BUF","MTL"
"201001030MTL","2010-01-03","MTL","BUF"
"201001030OTT","2010-01-03","PHI","OTT"
"201001030OTT","2010-01-03","OTT","PHI"
"201001040NYR","2010-01-04","BOS","NYR"
"201001040NYR","2010-01-04","NYR","BOS"
"201001040SJS","2010-01-04","LAK","SJS"
"201001040SJS","2010-01-04","SJS","LAK"
"201001050ANA","2010-01-05","DET","ANA"
"201001050ANA","2010-01-05","ANA","DET"
"201001050CHI","2010-01-05","MIN","CHI"
"201001050CHI","2010-01-05","CHI","MIN"
"201001050EDM","2010-01-05","PHX","EDM"
"201001050EDM","2010-01-05","EDM","PHX"
"201001050NJD","2010-01-05","DAL","NJD"
"201001050NJD","2010-01-05","NJD","DAL"
"201001050NSH","2010-01-05","CGY","NSH"
"201001050NSH","2010-01-05","NSH","CGY"
"201001050OTT","2010-01-05","BOS","OTT"
"201001050OTT","2010-01-05","OTT","BOS"
"201001050PIT","2010-01-05","ATL","PIT"
"201001050PIT","2010-01-05","PIT","ATL"
"201001050TOR","2010-01-05","FLA","TOR"
"201001050TOR","2010-01-05","TOR","FLA"
"201001050VAN","2010-01-05","CBJ","VAN"
"201001050VAN","2010-01-05","VAN","CBJ"
"201001050WSH","2010-01-05","MTL","WSH"
"201001050WSH","2010-01-05","WSH","MTL"
"201001060BUF","2010-01-06","TBL","BUF"
"201001060BUF","2010-01-06","BUF","TBL"
"201001060COL","2010-01-06","NYI","COL"
"201001060COL","2010-01-06","COL","NYI"
"201001060MIN","2010-01-06","CGY","MIN"
"201001060MIN","2010-01-06","MIN","CGY"
"201001060NYR","2010-01-06","DAL","NYR"
"201001060NYR","2010-01-06","NYR","DAL"
"201001060PHI","2010-01-06","TOR","PHI"
"201001060PHI","2010-01-06","PHI","TOR"
"201001060SJS","2010-01-06","STL","SJS"
"201001060SJS","2010-01-06","SJS","STL"
"201001070ANA","2010-01-07","STL","ANA"
"201001070ANA","2010-01-07","ANA","STL"
"201001070ATL","2010-01-07","NYR","ATL"
"201001070ATL","2010-01-07","ATL","NYR"
"201001070BOS","2010-01-07","CHI","BOS"
"201001070BOS","2010-01-07","BOS","CHI"
"201001070EDM","2010-01-07","CBJ","EDM"
"201001070EDM","2010-01-07","EDM","CBJ"
"201001070LAK","2010-01-07","DET","LAK"
"201001070LAK","2010-01-07","LAK","DET"
"201001070MTL","2010-01-07","FLA","MTL"
"201001070MTL","2010-01-07","MTL","FLA"
"201001070NSH","2010-01-07","CAR","NSH"
"201001070NSH","2010-01-07","NSH","CAR"
"201001070PIT","2010-01-07","PHI","PIT"
"201001070PIT","2010-01-07","PIT","PHI"
"201001070VAN","2010-01-07","PHX","VAN"
"201001070VAN","2010-01-07","VAN","PHX"
"201001070WSH","2010-01-07","OTT","WSH"
"201001070WSH","2010-01-07","WSH","OTT"
"201001080BUF","2010-01-08","TOR","BUF"
"201001080BUF","2010-01-08","BUF","TOR"
"201001080CAR","2010-01-08","COL","CAR"
"201001080CAR","2010-01-08","CAR","COL"
"201001080CGY","2010-01-08","CBJ","CGY"
"201001080CGY","2010-01-08","CGY","CBJ"
"201001080DAL","2010-01-08","NYI","DAL"
"201001080DAL","2010-01-08","DAL","NYI"
"201001080NJD","2010-01-08","TBL","NJD"
"201001080NJD","2010-01-08","NJD","TBL"
"201001090ATL","2010-01-09","WSH","ATL"
"201001090ATL","2010-01-09","ATL","WSH"
"201001090BOS","2010-01-09","NYR","BOS"
"201001090BOS","2010-01-09","BOS","NYR"
"201001090BUF","2010-01-09","COL","BUF"
"201001090BUF","2010-01-09","BUF","COL"
"201001090LAK","2010-01-09","STL","LAK"
"201001090LAK","2010-01-09","LAK","STL"
"201001090MIN","2010-01-09","CHI","MIN"
"201001090MIN","2010-01-09","MIN","CHI"
"201001090MTL","2010-01-09","NJD","MTL"
"201001090MTL","2010-01-09","MTL","NJD"
"201001090NSH","2010-01-09","ANA","NSH"
"201001090NSH","2010-01-09","NSH","ANA"
"201001090OTT","2010-01-09","FLA","OTT"
"201001090OTT","2010-01-09","OTT","FLA"
"201001090PHI","2010-01-09","TBL","PHI"
"201001090PHI","2010-01-09","PHI","TBL"
"201001090PHX","2010-01-09","NYI","PHX"
"201001090PHX","2010-01-09","PHX","NYI"
"201001090SJS","2010-01-09","DET","SJS"
"201001090SJS","2010-01-09","SJS","DET"
"201001090TOR","2010-01-09","PIT","TOR"
"201001090TOR","2010-01-09","TOR","PIT"
"201001090VAN","2010-01-09","CGY","VAN"
"201001090VAN","2010-01-09","VAN","CGY"
"201001100CAR","2010-01-10","OTT","CAR"
"201001100CAR","2010-01-10","CAR","OTT"
"201001100CBJ","2010-01-10","DAL","CBJ"
"201001100CBJ","2010-01-10","CBJ","DAL"
"201001100CHI","2010-01-10","ANA","CHI"
"201001100CHI","2010-01-10","CHI","ANA"
"201001110CGY","2010-01-11","COL","CGY"
"201001110CGY","2010-01-11","CGY","COL"
"201001110LAK","2010-01-11","SJS","LAK"
"201001110LAK","2010-01-11","LAK","SJS"
"201001110MIN","2010-01-11","PIT","MIN"
"201001110MIN","2010-01-11","MIN","PIT"
"201001110VAN","2010-01-11","NSH","VAN"
"201001110VAN","2010-01-11","VAN","NSH"
"201001120ATL","2010-01-12","OTT","ATL"
"201001120ATL","2010-01-12","ATL","OTT"
"201001120EDM","2010-01-12","NSH","EDM"
"201001120EDM","2010-01-12","EDM","NSH"
"201001120NYI","2010-01-12","DET","NYI"
"201001120NYI","2010-01-12","NYI","DET"
"201001120NYR","2010-01-12","NJD","NYR"
"201001120NYR","2010-01-12","NYR","NJD"
"201001120PHI","2010-01-12","DAL","PHI"
"201001120PHI","2010-01-12","PHI","DAL"
"201001120PHX","2010-01-12","SJS","PHX"
"201001120PHX","2010-01-12","PHX","SJS"
"201001120STL","2010-01-12","CBJ","STL"
"201001120STL","2010-01-12","STL","CBJ"
"201001120TBL","2010-01-12","WSH","TBL"
"201001120TBL","2010-01-12","TBL","WSH"
"201001120TOR","2010-01-12","CAR","TOR"
"201001120TOR","2010-01-12","TOR","CAR"
"201001130ANA","2010-01-13","BOS","ANA"
"201001130ANA","2010-01-13","ANA","BOS"
"201001130CGY","2010-01-13","PIT","CGY"
"201001130CGY","2010-01-13","CGY","PIT"
"201001130FLA","2010-01-13","WSH","FLA"
"201001130FLA","2010-01-13","FLA","WSH"
"201001130MIN","2010-01-13","VAN","MIN"
"201001130MIN","2010-01-13","MIN","VAN"
"201001140ATL","2010-01-14","BUF","ATL"
"201001140ATL","2010-01-14","ATL","BUF"
"201001140CHI","2010-01-14","CBJ","CHI"
"201001140CHI","2010-01-14","CHI","CBJ"
"201001140DET","2010-01-14","CAR","DET"
"201001140DET","2010-01-14","DET","CAR"
"201001140EDM","2010-01-14","PIT","EDM"
"201001140EDM","2010-01-14","EDM","PIT"
"201001140LAK","2010-01-14","ANA","LAK"
"201001140LAK","2010-01-14","LAK","ANA"
"201001140MTL","2010-01-14","DAL","MTL"
"201001140MTL","2010-01-14","MTL","DAL"
"201001140NYR","2010-01-14","OTT","NYR"
"201001140NYR","2010-01-14","NYR","OTT"
"201001140PHX","2010-01-14","NJD","PHX"
"201001140PHX","2010-01-14","PHX","NJD"
"201001140SJS","2010-01-14","BOS","SJS"
"201001140SJS","2010-01-14","SJS","BOS"
"201001140STL","2010-01-14","MIN","STL"
"201001140STL","2010-01-14","STL","MIN"
"201001140TBL","2010-01-14","FLA","TBL"
"201001140TBL","2010-01-14","TBL","FLA"
"201001140TOR","2010-01-14","PHI","TOR"
"201001140TOR","2010-01-14","TOR","PHI"
"201001150CGY","2010-01-15","NSH","CGY"
"201001150CGY","2010-01-15","CGY","NSH"
"201001150WSH","2010-01-15","TOR","WSH"
