"TEAM_ABBR","OT","Q1","Q2","Q3","SHTOUT","TOTAL_GOALS","OT_ALWD","Q1_ALWD","Q2_ALWD","Q3_ALWD","SHTOUT_ALWD","TOTAL_GOALS_ALWD","HOME_AWAY","SHOOTOUT_FLAG","GAME_DATE","GAME_ID"
"BOS",1,0,0,1,0,2,0,0,1,0,0,1,"H","N","2010-01-01","201001010BOS"
"PHI",0,0,1,0,0,1,1,0,0,1,0,2,"A","N","2010-01-01","201001010BOS"
"ATL",0,0,3,0,0,3,1,0,1,2,0,4,"A","N","2010-01-01","201001010BUF"
"BUF",1,0,1,2,0,4,0,0,3,0,0,3,"H","N","2010-01-01","201001010BUF"
"CBJ",0,1,1,0,0,2,0,0,1,2,0,3,"H","N","2010-01-02","201001020CBJ"
"COL",0,0,1,2,0,3,0,1,1,0,0,2,"A","N","2010-01-02","201001020CBJ"
"CGY",0,0,2,1,0,3,0,1,0,0,0,1,"H","N","2010-01-02","201001020CGY"
"TOR",0,1,0,0,0,1,0,0,2,1,0,3,"A","N","2010-01-02","201001020CGY"
"DAL",0,0,0,1,0,1,0,0,1,2,0,3,"H","N","2010-01-02","201001020DAL"
"VAN",0,0,1,2,0,3,0,0,0,1,0,1,"A","N","2010-01-02","201001020DAL"
"LAK",0,1,0,1,0,2,0,0,1,0,0,1,"H","N","2010-01-02","201001020LAK"
"WSH",0,0,1,0,0,1,0,1,0,1,0,2,"A","N","2010-01-02","201001020LAK"
"MIN",0,0,2,1,0,3,0,0,3,2,0,5,"H","N","2010-01-02","201001020MIN"
"NJD",0,0,3,2,0,5,0,0,2,1,0,3,"A","N","2010-01-02","201001020MIN"
"ANA",0,1,0,0,0,1,0,0,1,2,0,3,"A","N","2010-01-02","201001020NSH"
"NSH",0,0,1,2,0,3,0,1,0,0,0,1,"H","N","2010-01-02","201001020NSH"
"ATL",0,0,4,1,0,5,0,3,2,0,1,6,"A","Y","2010-01-02","201001020NYI"
"NYI",0,3,2,0,1,6,0,0,4,1,0,5,"H","Y","2010-01-02","201001020NYI"
"CAR",1,0,1,0,0,2,0,0,0,1,0,1,"A","N","2010-01-02","201001020NYR"
"NYR",0,0,0,1,0,1,1,0,1,0,0,2,"H","N","2010-01-02","201001020NYR"
"DET",0,1,1,2,0,4,0,0,1,0,0,1,"A","N","2010-01-02","201001020PHX"
"PHX",0,0,1,0,0,1,0,1,1,2,0,4,"H","N","2010-01-02","201001020PHX"
"EDM",0,0,1,0,0,1,0,2,2,0,0,4,"A","N","2010-01-02","201001020SJS"
"SJS",0,2,2,0,0,4,0,0,1,0,0,1,"H","N","2010-01-02","201001020SJS"
"CHI",0,2,2,2,0,6,0,2,0,1,0,3,"A","N","2010-01-02","201001020STL"
"STL",0,2,0,1,0,3,0,2,2,2,0,6,"H","N","2010-01-02","201001020STL"
"PIT",0,1,0,0,0,1,0,1,1,1,0,3,"A","N","2010-01-02","201001020TBL"
"TBL",0,1,1,1,0,3,0,1,0,0,0,1,"H","N","2010-01-02","201001020TBL"
"ANA",0,0,0,2,0,2,0,0,2,3,0,5,"A","N","2010-01-03","201001030CHI"
"CHI",0,0,2,3,0,5,0,0,0,2,0,2,"H","N","2010-01-03","201001030CHI"
"FLA",0,1,2,3,0,6,0,2,0,0,0,2,"H","N","2010-01-03","201001030FLA"
"PIT",0,2,0,0,0,2,0,1,2,3,0,6,"A","N","2010-01-03","201001030FLA"
"BUF",0,0,1,0,0,1,0,0,0,0,0,0,"A","N","2010-01-03","201001030MTL"
"MTL",0,0,0,0,0,0,0,0,1,0,0,1,"H","N","2010-01-03","201001030MTL"
"OTT",0,4,0,3,0,7,0,1,3,0,0,4,"H","N","2010-01-03","201001030OTT"
"PHI",0,1,3,0,0,4,0,4,0,3,0,7,"A","N","2010-01-03","201001030OTT"
"BOS",0,0,0,2,0,2,0,1,1,1,0,3,"A","N","2010-01-04","201001040NYR"
"NYR",0,1,1,1,0,3,0,0,0,2,0,2,"H","N","2010-01-04","201001040NYR"
"LAK",0,3,2,1,0,6,0,0,0,2,0,2,"A","N","2010-01-04","201001040SJS"
"SJS",0,0,0,2,0,2,0,3,2,1,0,6,"H","N","2010-01-04","201001040SJS"
"ANA",0,2,0,2,0,4,0,0,0,1,0,1,"H","N","2010-01-05","201001050ANA"
"DET",0,0,0,1,0,1,0,2,0,2,0,4,"A","N","2010-01-05","201001050ANA"
"CHI",0,1,1,2,0,4,0,1,0,0,0,1,"H","N","2010-01-05","201001050CHI"
"MIN",0,1,0,0,0,1,0,1,1,2,0,4,"A","N","2010-01-05","201001050CHI"
"EDM",0,0,2,2,0,4,1,1,3,0,0,5,"H","N","2010-01-05","201001050EDM"
"PHX",1,1,3,0,0,5,0,0,2,2,0,4,"A","N","2010-01-05","201001050EDM"
"DAL",0,0,0,0,0,0,0,1,3,0,0,4,"A","N","2010-01-05","201001050NJD"
"NJD",0,1,3,0,0,4,0,0,0,0,0,0,"H","N","2010-01-05","201001050NJD"
"CGY",0,0,2,1,0,3,0,0,0,1,0,1,"A","N","2010-01-05","201001050NSH"
"NSH",0,0,0,1,0,1,0,0,2,1,0,3,"H","N","2010-01-05","201001050NSH"
"BOS",0,4,0,0,0,4,0,0,1,0,0,1,"A","N","2010-01-05","201001050OTT"
"OTT",0,0,1,0,0,1,0,4,0,0,0,4,"H","N","2010-01-05","201001050OTT"
"ATL",0,0,2,0,0,2,0,0,3,2,0,5,"A","N","2010-01-05","201001050PIT"
"PIT",0,0,3,2,0,5,0,0,2,0,0,2,"H","N","2010-01-05","201001050PIT"
"FLA",0,2,0,0,0,2,0,1,2,0,0,3,"A","N","2010-01-05","201001050TOR"
"TOR",0,1,2,0,0,3,0,2,0,0,0,2,"H","N","2010-01-05","201001050TOR"
"CBJ",0,2,1,0,0,3,0,3,3,1,0,7,"A","N","2010-01-05","201001050VAN"
"VAN",0,3,3,1,0,7,0,2,1,0,0,3,"H","N","2010-01-05","201001050VAN"
"MTL",0,0,1,1,0,2,0,0,3,1,0,4,"A","N","2010-01-05","201001050WSH"
"WSH",0,0,3,1,0,4,0,0,1,1,0,2,"H","N","2010-01-05","201001050WSH"
"BUF",0,3,2,0,0,5,0,2,1,0,0,3,"H","N","2010-01-06","201001060BUF"
"TBL",0,2,1,0,0,3,0,3,2,0,0,5,"A","N","2010-01-06","201001060BUF"
"COL",0,1,0,1,0,2,0,1,1,1,0,3,"H","N","2010-01-06","201001060COL"
"NYI",0,1,1,1,0,3,0,1,0,1,0,2,"A","N","2010-01-06","201001060COL"
"CGY",0,1,0,0,0,1,0,1,2,1,0,4,"A","N","2010-01-06","201001060MIN"
"MIN",0,1,2,1,0,4,0,1,0,0,0,1,"H","N","2010-01-06","201001060MIN"
"DAL",0,1,1,0,0,2,0,2,1,2,0,5,"A","N","2010-01-06","201001060NYR"
"NYR",0,2,1,2,0,5,0,1,1,0,0,2,"H","N","2010-01-06","201001060NYR"
"PHI",0,2,1,3,0,6,0,0,0,2,0,2,"H","N","2010-01-06","201001060PHI"
"TOR",0,0,0,2,0,2,0,2,1,3,0,6,"A","N","2010-01-06","201001060PHI"
"SJS",1,0,0,1,0,2,0,0,1,0,0,1,"H","N","2010-01-06","201001060SJS"
"STL",0,0,1,0,0,1,1,0,0,1,0,2,"A","N","2010-01-06","201001060SJS"
"ANA",0,0,1,3,0,4,0,1,0,1,0,2,"H","N","2010-01-07","201001070ANA"
"STL",0,1,0,1,0,2,0,0,1,3,0,4,"A","N","2010-01-07","201001070ANA"
"ATL",0,0,0,1,1,2,0,0,1,0,0,1,"H","Y","2010-01-07","201001070ATL"
"NYR",0,0,1,0,0,1,0,0,0,1,1,2,"A","Y","2010-01-07","201001070ATL"
"BOS",0,2,0,0,0,2,0,2,2,1,0,5,"H","N","2010-01-07","201001070BOS"
"CHI",0,2,2,1,0,5,0,2,0,0,0,2,"A","N","2010-01-07","201001070BOS"
"CBJ",0,1,1,2,0,4,0,1,0,1,0,2,"A","N","2010-01-07","201001070EDM"
"EDM",0,1,0,1,0,2,0,1,1,2,0,4,"H","N","2010-01-07","201001070EDM"
"DET",0,1,0,1,0,2,0,0,0,1,0,1,"A","N","2010-01-07","201001070LAK"
"LAK",0,0,0,1,0,1,0,1,0,1,0,2,"H","N","2010-01-07","201001070LAK"
"FLA",0,0,0,0,0,0,0,1,0,1,0,2,"A","N","2010-01-07","201001070MTL"
"MTL",0,1,0,1,0,2,0,0,0,0,0,0,"H","N","2010-01-07","201001070MTL"
"CAR",0,1,0,1,0,2,0,2,1,1,0,4,"A","N","2010-01-07","201001070NSH"
"NSH",0,2,1,1,0,4,0,1,0,1,0,2,"H","N","2010-01-07","201001070NSH"
"PHI",0,3,2,2,0,7,0,2,1,1,0,4,"A","N","2010-01-07","201001070PIT"
"PIT",0,2,1,1,0,4,0,3,2,2,0,7,"H","N","2010-01-07","201001070PIT"
"PHX",0,0,0,0,0,0,0,1,1,2,0,4,"A","N","2010-01-07","201001070VAN"
"VAN",0,1,1,2,0,4,0,0,0,0,0,0,"H","N","2010-01-07","201001070VAN"
"OTT",0,0,1,1,0,2,0,2,0,3,0,5,"A","N","2010-01-07","201001070WSH"
"WSH",0,2,0,3,0,5,0,0,1,1,0,2,"H","N","2010-01-07","201001070WSH"
"BUF",0,2,1,0,0,3,0,0,0,2,0,2,"H","N","2010-01-08","201001080BUF"
"TOR",0,0,0,2,0,2,0,2,1,0,0,3,"A","N","2010-01-08","201001080BUF"
"CAR",0,1,1,0,0,2,0,0,0,1,0,1,"H","N","2010-01-08","201001080CAR"
"COL",0,0,0,1,0,1,0,1,1,0,0,2,"A","N","2010-01-08","201001080CAR"
"CBJ",0,1,1,1,0,3,0,1,0,1,0,2,"A","N","2010-01-08","201001080CGY"
"CGY",0,1,0,1,0,2,0,1,1,1,0,3,"H","N","2010-01-08","201001080CGY"
"DAL",0,1,3,0,0,4,0,2,1,0,0,3,"H","N","2010-01-08","201001080DAL"
"NYI",0,2,1,0,0,3,0,1,3,0,0,4,"A","N","2010-01-08","201001080DAL"
"NJD",0,0,0,2,0,2,0,1,2,1,0,4,"H","N","2010-01-08","201001080NJD"
"TBL",0,1,2,1,0,4,0,0,0,2,0,2,"A","N","2010-01-08","201001080NJD"
"ATL",0,0,1,0,0,1,0,3,1,4,0,8,"H","N","2010-01-09","201001090ATL"
"WSH",0,3,1,4,0,8,0,0,1,0,0,1,"A","N","2010-01-09","201001090ATL"
"BOS",0,0,0,1,0,1,0,1,1,1,0,3,"H","N","2010-01-09","201001090BOS"
"NYR",0,1,1,1,0,3,0,0,0,1,0,1,"A","N","2010-01-09","201001090BOS"
"BUF",0,0,1,2,0,3,0,2,1,0,1,4,"H","Y","2010-01-09","201001090BUF"
"COL",0,2,1,0,1,4,0,0,1,2,0,3,"A","Y","2010-01-09","201001090BUF"
"LAK",0,0,1,2,0,3,0,1,1,2,0,4,"H","N","2010-01-09","201001090LAK"
"STL",0,1,1,2,0,4,0,0,1,2,0,3,"A","N","2010-01-09","201001090LAK"
"CHI",0,3,2,0,0,5,0,1,0,4,1,6,"A","Y","2010-01-09","201001090MIN"
"MIN",0,1,0,4,1,6,0,3,2,0,0,5,"H","Y","2010-01-09","201001090MIN"
"MTL",0,0,1,0,0,1,1,1,0,0,0,2,"H","N","2010-01-09","201001090MTL"
"NJD",1,1,0,0,0,2,0,0,1,0,0,1,"A","N","2010-01-09","201001090MTL"
"ANA",0,1,2,0,0,3,0,0,0,2,0,2,"A","N","2010-01-09","201001090NSH"
"NSH",0,0,0,2,0,2,0,1,2,0,0,3,"H","N","2010-01-09","201001090NSH"
"FLA",0,1,2,0,0,3,0,0,0,0,0,0,"A","N","2010-01-09","201001090OTT"
"OTT",0,0,0,0,0,0,0,1,2,0,0,3,"H","N","2010-01-09","201001090OTT"
